Date,Equity,Bonds,Gold
2010-09,0.0327601145703007,0.0468880576187054,0.17573087783401747
2010-10,0.03058143626335429,0.046484385795105505,0.17456300029225225
2010-11,0.08581662224072,0.050614044055042724,0.1486399687781848
2010-12,0.08727012656252006,0.06105580822515415,0.1486399687781848
2011-01,0.08624178274026649,0.06262827205842104,0.17417873228736386
2011-02,0.09292257198218179,0.06363587802789697,0.17369310014207354
2011-03,0.08650986119313112,0.06262827205842104,0.17484449521839168
2011-04,0.08216006960260298,0.0621328147242509,0.17398222850902095
2011-05,0.08756604638647822,0.06396008531407113,0.1768948486261997
2011-06,0.08612813419933371,0.06416937301698299,0.1761133582576927
2011-07,0.0484236385034026,0.06438707513342899,0.17631103397332434
2011-08,0.07651619595332447,0.06143234714120438,0.17311514951222773
2011-09,0.07193782783056983,0.047418227801464666,0.16670507540833707
2011-10,0.09137566740651586,0.061418742622422445,0.16635270237866048
2011-11,0.08879771532332847,0.04218529787476685,0.1636970331165802
2011-12,0.09021274050672023,0.03455658538272772,0.15551544193780062
2012-01,0.09132681381298091,0.035937857460482905,0.1717953005392809
2012-02,0.08845575303264983,0.03614984440438743,0.1717953005392809
2012-03,0.09372076956514439,0.03946979136686217,0.17170154515456965
2012-04,0.09662184247208079,0.03531126345519866,0.17306747247647425
2012-05,0.1290432514564322,0.03299725012445414,0.17435855825288585
2012-06,0.12477775970018784,0.033651972503153445,0.17435855825288585
2012-07,0.1311073081421676,0.033481087403212234,0.17435855825288585
2012-08,0.12434679634943949,0.0636661483997934,0.2411093510351554
2012-09,0.12470731549233811,0.05985728901007068,0.24292758093610792
2012-10,0.11552800660787618,0.062445075167589056,0.31153494140049537
2012-11,0.12265930960104333,0.05985728901007068,0.3265890895944797
2012-12,0.12202857673465119,0.0669994883507109,0.31153494140049537
2013-01,0.12118666071683877,0.06925666171544266,0.23668884656248806
2013-02,0.12607673786071386,0.06706139264182194,0.23668884656248806
2013-03,0.1238622168013068,0.06437503210712373,0.27645495700258865
2013-04,0.11925463234263317,0.06805490303746774,0.2377798999684698
2013-05,0.11803368467168467,0.06868493656253405,0.30967766575898964
2013-06,0.11857079231535027,0.08496745310853432,0.23447819039475315
2013-07,0.11918972746408618,0.08817268944480926,0.23447819039475315
2013-08,0.12257052353196464,0.08817268944480926,0.23447819039475315
2013-09,0.12975411067753254,0.08773530338645258,0.23447819039475315
2013-10,0.12975411067753254,0.08751400148035397,0.23447819039475315
2013-11,0.13042802165972522,0.08806880445102529,0.23447819039475315
2013-12,0.13042802165972522,0.08806880445102529,0.23447819039475315
2014-01,0.1438564082106814,0.07848189743650699,0.06197606625515199
2014-02,0.14611278356190432,0.07734382127218821,0.05489443840660049
2014-03,0.14611278356190432,0.07627937407554504,0.05855975061246342
2014-04,0.14152505473237045,0.06380102399112803,0.05994438614488339
2014-05,0.1408339233886149,0.05652728789792133,0.06117820740465429
2014-06,0.14121868427906473,0.051799481149418625,0.11080787058653567
2014-07,0.1395546632398603,0.06414747176854328,0.4909975854433316
2014-08,0.14129211913240222,0.04913915101303537,0.5277449709661868
2014-09,0.13953433135359364,0.056827749637770764,0.5251387514603867
2014-10,0.1391461768609702,0.057065564444980454,0.48423137705753055
2014-11,0.14129211913240222,0.057065564444980454,0.5251387514603867
2014-12,0.13834973943213338,0.03925100227898317,0.5302629557147966
2015-01,0.1483739060000623,0.03654103479496877,0.38509685851990577
2015-02,0.14781868664246883,0.02991832462286288,0.08698857810141553
2015-03,0.14781868664246883,0.03215488053279341,0.02470742557580901
2015-04,0.14781868664246883,0.02991832462286288,0.01738739229917929
2015-05,0.14837841810649569,0.03014763577356381,0.006578785241258083
2015-06,0.14802601705127985,0.03103360269944235,0.008238827308962658
2015-07,0.14946725433825525,0.035252651923824166,0.005433501771704501
2015-08,0.14995558990407826,0.03460189802088231,0.005433501771704501
2015-09,0.17039618778316257,0.02875881025401783,0.004700129684927053
2015-10,0.14995558990407826,0.03103360269944235,0.007505455222185212
2015-11,0.15660705386117008,0.030419793191559016,0.007287255664292841
2015-12,0.17085914637519398,0.03286753871409352,0.005433501771704501
2016-01,0.1572739414722259,0.03536910934780103,-0.0023199787088349242
2016-02,0.163469638519056,0.03605661442518685,0.0016965567210637956
2016-03,0.14308087016001417,0.0498867793903643,0.016114470101368173
2016-04,0.14995463442556625,0.049002208104596455,0.0065919432311327
