Date,Nifty,Gold,Liquid
2000-12-15,1312.6,272.9,109.07174388470192
2000-12-16,1312.6,272.9,109.09850710238427
2000-12-17,1312.6,272.9,109.125276887027
2000-12-18,1317.6,272.0,109.15205324024149
2000-12-19,1310.5,272.0,109.17883616363945
2000-12-20,1295.25,274.7,109.20562565883304
2000-12-21,1277.4,275.7,109.23242172743475
2000-12-22,1242.0,275.5,109.2592243710576
2000-12-23,1242.0,275.5,109.28603359131486
2000-12-24,1242.0,275.5,109.31284938982029
2000-12-25,1242.0,275.5,109.33967176818796
2000-12-26,1212.0,275.9,109.36650072803243
2000-12-27,1228.3,276.9,109.39333627096862
2000-12-28,1248.95,273.7,109.42017839861182
2000-12-29,1263.55,273.6,109.44702711257774
2000-12-30,1263.55,273.6,109.47325601766156
2000-12-31,1263.55,273.6,109.4994912084845
2001-01-01,1254.3,273.6,109.52573268655296
2001-01-02,1271.8,270.0,109.55198045337366
2001-01-03,1291.25,269.3,109.57823451045373
2001-01-04,1307.65,268.4,109.60449485930056
2001-01-05,1327.25,269.0,109.630761501422
2001-01-06,1327.25,269.0,109.65703443832626
2001-01-07,1327.25,269.0,109.68331367152184
2001-01-08,1309.25,269.0,109.70959920251768
2001-01-09,1311.65,268.5,109.735891032823
2001-01-10,1287.3,265.6,109.76218916394744
2001-01-11,1280.4,264.8,109.788493597401
2001-01-12,1286.75,264.6,109.81480433469402
2001-01-13,1286.75,264.6,109.84162411853733
2001-01-14,1286.75,264.6,109.86845045250664
2001-01-15,1286.75,264.6,109.89528333820166
2001-01-16,1293.05,263.9,109.92212277722254
2001-01-17,1297.9,263.8,109.94896877116976
2001-01-18,1305.95,264.8,109.97582132164418
2001-01-19,1329.1,264.9,110.00268043024712
2001-01-20,1329.1,264.9,110.02942012290788
2001-01-21,1329.1,264.9,110.05616631551176
2001-01-22,1348.0,267.0,110.08291900963872
2001-01-23,1355.2,266.7,110.10967820686923
2001-01-24,1365.95,264.6,110.13644390878405
2001-01-25,1370.1,264.8,110.16321611696436
2001-01-26,1370.1,262.9,110.1899948329917
2001-01-27,1370.1,262.9,110.21678005844804
2001-01-28,1370.1,262.9,110.24357179491568
2001-01-29,1342.05,262.8,110.27037004397737
2001-01-30,1379.7,268.0,110.29717480721614
2001-01-31,1371.7,268.0,110.32398608621553
2001-02-01,1359.15,270.7,110.35080388255938
2001-02-02,1378.85,269.3,110.37762819783194
2001-02-03,1378.85,269.3,110.40395371576382
2001-02-04,1378.85,269.3,110.43028551243992
2001-02-05,1382.6,267.4,110.45662358935776
2001-02-06,1387.1,265.4,110.48296794801514
2001-02-07,1370.8,264.9,110.50931858991036
2001-02-08,1395.5,262.2,110.53567551654194
2001-02-09,1405.7,262.0,110.56203872940884
2001-02-10,1405.7,262.0,110.58802898707204
2001-02-11,1405.7,262.0,110.61402535436832
2001-02-12,1402.2,262.7,110.64002783273396
2001-02-13,1391.2,262.2,110.66603642360546
2001-02-14,1393.35,261.2,110.69205112841976
2001-02-15,1416.7,256.9,110.71807194861404
