start,Strategy,XIRR,Worst wealth drop
1987-09,Equity SIP,0.18916986355452645,-0.07755907941893803
1987-09,Equal-weight SIP,0.10401588804744985,-0.02493098084353007
1987-09,60/20/20 annual rebal,0.12969274369818598,-0.025642313421961105
1987-09,Risk-parity SIP,0.08136756426664261,-0.023453132766653617
1987-09,Max-Sharpe SIP,0.09760402470985016,-0.032756397782727764
1987-09,Optimized SIP,0.09026194677429672,-0.028423786214912816
1987-10,Equity SIP,0.18978975362573416,-0.07642503318036653
1987-10,Equal-weight SIP,0.1045753881485559,-0.02460576237642098
1987-10,60/20/20 annual rebal,0.1303281747045333,-0.02517367160717343
1987-10,Risk-parity SIP,0.08161879031067365,-0.02317235853586519
1987-10,Max-Sharpe SIP,0.09813517573034766,-0.03234587850739812
1987-10,Optimized SIP,0.09065182376460658,-0.02814229524522549
1987-11,Equity SIP,0.191149414132355,-0.07518799797588038
1987-11,Equal-weight SIP,0.10616507899306722,-0.024258095187127182
1987-11,60/20/20 annual rebal,0.13213745089901438,-0.02442982747130562
1987-11,Risk-parity SIP,0.08309315267485724,-0.022874906889936653
1987-11,Max-Sharpe SIP,0.09976119379511762,-0.03190894272079903
1987-11,Optimized SIP,0.09218995752403002,-0.027843389292775522
1987-12,Equity SIP,0.18700900012881283,-0.07369374352365898
1987-12,Equal-weight SIP,0.10264425746514833,-0.023880468107557173
1987-12,60/20/20 annual rebal,0.12738502493300394,-0.024196261917500794
1987-12,Risk-parity SIP,0.07880378196499326,-0.022556454059178166
1987-12,Max-Sharpe SIP,0.09733892048041487,-0.03143386620768984
1987-12,Optimized SIP,0.08886235605005892,-0.02752076971295392
1988-01,Equity SIP,0.18945391797567365,-0.07185923138754924
1988-01,Equal-weight SIP,0.1025133514995785,-0.023479155683922448
1988-01,60/20/20 annual rebal,0.12660364803307092,-0.024056838024212657
1988-01,Risk-parity SIP,0.07636190158837262,-0.022221880179317477
1988-01,Max-Sharpe SIP,0.0968196701094014,-0.03092727074061008
1988-01,Optimized SIP,0.0874786424255134,-0.02717923705687042
1988-02,Equity SIP,0.1874320177544739,-0.06984039269968467
1988-02,Equal-weight SIP,0.10256871677871526,-0.023059612904392512
1988-02,60/20/20 annual rebal,0.12665024109612233,-0.02380625254374369
1988-02,Risk-parity SIP,0.0771489256607264,-0.02187608945517394
1988-02,Max-Sharpe SIP,0.09779891466868777,-0.03046489019646681
1988-02,Optimized SIP,0.08834132983119426,-0.026825259695627657
1988-03,Equity SIP,0.19655869703750906,-0.0677328632000247
1988-03,Equal-weight SIP,0.10806525237754083,-0.02264101184153955
1988-03,60/20/20 annual rebal,0.13304024188729496,-0.023476651398602666
1988-03,Risk-parity SIP,0.08104161807338406,-0.021526721526844095
1988-03,Max-Sharpe SIP,0.10190601846308901,-0.030111922897913534
