Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2014-02,10000.000000,490000.000000,67180.320303,114413.925534,399099.012356,580693.258192,0.018285,0.117953,0.182047,0.700000,0.115690,0.197030,0.687280,10000.000000,0.000000,10.000000
2014-03,10000.000000,500000.000000,73403.974789,107937.466786,410793.979571,592135.421146,0.002441,0.117953,0.182047,0.700000,0.123965,0.182285,0.693750,10000.000000,0.000000,10.000000
2014-04,10000.000000,510000.000000,73396.874700,110708.571787,422503.911835,606609.358321,0.007430,0.117953,0.182047,0.700000,0.120995,0.182504,0.696501,10000.000000,0.000000,10.000000
2014-05,10000.000000,520000.000000,79323.154335,105954.708773,434275.541260,619553.404368,0.004775,0.117953,0.182047,0.700000,0.128033,0.171018,0.700949,10000.000000,0.000000,10.000000
2014-06,10000.000000,530000.000000,83592.277367,120312.860337,441621.522671,645526.660375,0.025372,0.117953,0.182047,0.700000,0.129495,0.186379,0.684126,10000.000000,0.000000,10.000000
2014-07,10000.000000,540000.000000,84889.075980,117696.010708,454914.951674,657500.038362,0.003010,0.117953,0.182047,0.700000,0.129109,0.179005,0.691886,10000.000000,0.000000,10.000000
2014-08,10000.000000,550000.000000,87541.912263,122399.900600,465949.514506,675891.327369,0.012571,0.117953,0.182047,0.700000,0.129521,0.181094,0.689385,10000.000000,0.000000,10.000000
2014-09,10000.000000,560000.000000,87750.477847,117362.685917,477821.430602,682934.594366,-0.004311,0.117953,0.182047,0.700000,0.128490,0.171851,0.699659,10000.000000,0.000000,10.000000
2014-10,10000.000000,570000.000000,91781.794068,117868.724177,485814.854629,695465.372874,0.003652,0.117953,0.182047,0.700000,0.131972,0.169482,0.698546,10000.000000,0.000000,10.000000
2014-11,10000.000000,580000.000000,94814.025585,125497.826898,493483.086591,713794.939074,0.011807,0.117953,0.182047,0.700000,0.132831,0.175818,0.691351,10000.000000,0.000000,10.000000
2014-12,10000.000000,590000.000000,91542.212630,131412.553535,503785.857011,726740.623176,0.004070,0.117953,0.182047,0.700000,0.125963,0.180825,0.693213,10000.000000,0.000000,10.000000
2015-01,10000.000000,600000.000000,97455.737926,141611.544175,515555.157418,754622.439519,0.024272,0.117953,0.182047,0.700000,0.129145,0.187659,0.683196,10000.000000,0.000000,10.000000
2015-02,10000.000000,610000.000000,98588.361639,133555.982169,528903.825729,761048.169538,-0.004675,0.124112,0.175888,0.700000,0.129543,0.175490,0.694968,10000.000000,0.000000,10.000000
2015-03,10000.000000,620000.000000,94143.764166,133190.453489,541095.605090,768429.822746,-0.003396,0.124112,0.175888,0.700000,0.122514,0.173328,0.704157,10000.000000,0.000000,10.000000
2015-04,10000.000000,630000.000000,93194.593253,139610.620449,548464.652674,781269.866376,0.003648,0.124112,0.175888,0.700000,0.119286,0.178697,0.702017,10000.000000,0.000000,10.000000
2015-05,10000.000000,640000.000000,101122.043115,140769.832141,557398.264759,799290.140014,0.010136,0.124112,0.175888,0.700000,0.126515,0.176119,0.697367,10000.000000,0.000000,10.000000
2015-06,10000.000000,650000.000000,100449.182658,139826.523811,569510.401183,809786.107652,0.000613,0.124112,0.175888,0.700000,0.124044,0.172671,0.703285,10000.000000,0.000000,10.000000
2015-07,10000.000000,660000.000000,103852.667629,135344.050495,577522.264933,816718.983057,-0.003741,0.124112,0.175888,0.700000,0.127158,0.165717,0.707125,10000.000000,0.000000,10.000000
2015-08,10000.000000,670000.000000,97129.418003,155107.583919,582214.888522,834451.890444,0.009354,0.124112,0.175888,0.700000,0.116399,0.185880,0.697721,10000.000000,0.000000,10.000000
2015-09,10000.000000,680000.000000,101583.352870,150688.833345,591178.508282,843450.694497,-0.001186,0.124112,0.175888,0.700000,0.120438,0.178658,0.700905,10000.000000,0.000000,10.000000
2015-10,10000.000000,690000.000000,107354.313280,153991.779758,600666.032218,862012.125256,0.010032,0.124112,0.175888,0.700000,0.124539,0.178642,0.696819,10000.000000,0.000000,10.000000
2015-11,10000.000000,700000.000000,106541.841047,145986.643096,613420.740112,865949.224254,-0.006953,0.124112,0.175888,0.700000,0.123035,0.168586,0.708380,10000.000000,0.000000,10.000000
2015-12,10000.000000,710000.000000,108930.192381,152575.170875,617172.718165,878678.081421,0.003115,0.124112,0.175888,0.700000,0.123971,0.173642,0.702388,10000.000000,0.000000,10.000000
2016-01,10000.000000,720000.000000,105100.871726,168768.976207,625913.154837,899783.002769,0.012496,0.124112,0.175888,0.700000,0.116807,0.187566,0.695627,10000.000000,0.000000,10.000000
2016-02,10000.000000,730000.000000,101769.686045,187540.093899,634662.221986,923972.001929,0.015596,0.127248,0.172752,0.700000,0.110144,0.202972,0.686885,10000.000000,0.000000,10.000000
2016-03,10000.000000,740000.000000,118052.799613,182326.291860,643897.803666,944276.895139,0.011033,0.127248,0.172752,0.700000,0.125019,0.193086,0.681895,10000.000000,0.000000,10.000000
2016-04,10000.000000,750000.000000,121127.045390,190827.800761,656379.723807,968334.569958,0.014731,0.127248,0.172752,0.700000,0.125088,0.197068,0.677844,10000.000000,0.000000,10.000000
2016-05,10000.000000,760000.000000,127145.216532,182010.921045,669196.321631,978352.459208,0.000018,0.127248,0.172752,0.700000,0.129958,0.186038,0.684003,10000.000000,0.000000,10.000000
2016-06,10000.000000,770000.000000,129270.605585,198569.040897,682996.320075,1010835.966557,0.022748,0.127248,0.172752,0.700000,0.127885,0.196440,0.675675,10000.000000,0.000000,10.000000
2016-07,10000.000000,780000.000000,135083.795037,201878.049160,696688.945286,1033650.789484,0.012553,0.127248,0.172752,0.700000,0.130686,0.195306,0.674008,10000.000000,0.000000,10.000000
2016-08,10000.000000,790000.000000,137538.464010,195517.039405,710632.145714,1043687.649130,0.000035,0.127248,0.172752,0.700000,0.131781,0.187333,0.680886,10000.000000,0.000000,10.000000
2016-09,10000.000000,800000.000000,134945.964136,195308.948574,724509.750810,1054764.663520,0.001022,0.127248,0.172752,0.700000,0.127939,0.185168,0.686892,10000.000000,0.000000,10.000000
2016-10,10000.000000,810000.000000,135573.692451,189179.502004,738245.580081,1062998.774536,-0.001658,0.127248,0.172752,0.700000,0.127539,0.177968,0.694493,10000.000000,0.000000,10.000000
2016-11,10000.000000,820000.000000,130078.851610,179247.615895,751325.874144,1060652.341649,-0.011506,0.127248,0.172752,0.700000,0.122640,0.168998,0.708362,10000.000000,0.000000,10.000000
2016-12,10000.000000,830000.000000,134776.901416,178890.220043,755218.614777,1068885.736235,-0.001650,0.127248,0.172752,0.700000,0.126091,0.167361,0.706548,10000.000000,0.000000,10.000000
2017-01,10000.000000,840000.000000,143730.778424,194769.392776,759230.121779,1097730.292979,0.017467,0.127248,0.172752,0.700000,0.130935,0.177429,0.691636,10000.000000,0.000000,10.000000
2017-02,10000.000000,850000.000000,149228.897104,199180.813954,772868.049299,1121277.760357,0.012230,0.127779,0.172221,0.700000,0.133088,0.177637,0.689274,10000.000000,0.000000,10.000000
2017-03,10000.000000,860000.000000,154332.628060,193324.555484,786827.494999,1134484.678543,0.002835,0.127779,0.172221,0.700000,0.136038,0.170407,0.693555,10000.000000,0.000000,10.000000
2017-04,10000.000000,870000.000000,156690.526407,196311.317847,798649.334776,1151651.179031,0.006262,0.127779,0.172221,0.700000,0.136057,0.170461,0.693482,10000.000000,0.000000,10.000000
2017-05,10000.000000,880000.000000,162200.877623,199355.980726,810886.152785,1172443.011135,0.009290,0.127779,0.172221,0.700000,0.138344,0.170035,0.691621,10000.000000,0.000000,10.000000
2017-06,10000.000000,890000.000000,160683.475758,197343.120176,823088.242978,1181114.838912,-0.001123,0.127779,0.172221,0.700000,0.136044,0.167082,0.696874,10000.000000,0.000000,10.000000
2017-07,10000.000000,900000.000000,170243.063569,206162.906006,833252.888463,1209658.858038,0.015569,0.127779,0.172221,0.700000,0.140736,0.170431,0.688833,10000.000000,0.000000,10.000000
2017-08,10000.000000,910000.000000,167736.585436,215195.101579,846051.466292,1228983.153308,0.007645,0.127779,0.172221,0.700000,0.136484,0.175100,0.688416,10000.000000,0.000000,10.000000
2017-09,10000.000000,920000.000000,165730.174974,212270.989323,860345.838467,1238347.002764,-0.000513,0.127779,0.172221,0.700000,0.133832,0.171415,0.694753,10000.000000,0.000000,10.000000
2017-10,10000.000000,930000.000000,175164.456888,210906.624977,873165.975454,1259237.057319,0.008724,0.127779,0.172221,0.700000,0.139104,0.167488,0.693409,10000.000000,0.000000,10.000000
2017-11,10000.000000,940000.000000,173509.737052,214123.215711,884244.847924,1271877.800686,0.002081,0.127779,0.172221,0.700000,0.136420,0.168352,0.695228,10000.000000,0.000000,10.000000
2017-12,10000.000000,950000.000000,178856.701335,219900.671723,895543.617193,1294300.990251,0.009691,0.127779,0.172221,0.700000,0.138188,0.169899,0.691913,10000.000000,0.000000,10.000000
2018-01,10000.000000,960000.000000,187490.229297,227679.567884,908269.601278,1323439.398459,0.014673,0.127779,0.172221,0.700000,0.141669,0.172036,0.686295,10000.000000,0.000000,10.000000
2018-02,10000.000000,970000.000000,178598.616954,226082.665093,922765.416026,1327446.698072,-0.004494,0.135351,0.164649,0.700000,0.134543,0.170314,0.695143,10000.000000,0.000000,10.000000
2018-03,10000.000000,980000.000000,173811.941929,229591.679885,936183.648332,1339587.270147,0.001600,0.135351,0.164649,0.700000,0.129750,0.171390,0.698860,10000.000000,0.000000,10.000000
2018-04,10000.000000,990000.000000,190166.190849,230869.683381,945829.034226,1366864.908456,0.012802,0.135351,0.164649,0.700000,0.139126,0.168905,0.691970,10000.000000,0.000000,10.000000
2018-05,10000.000000,1000000.000000,190314.157530,232649.603466,960949.848285,1383913.609281,0.005119,0.135351,0.164649,0.700000,0.137519,0.168110,0.694371,10000.000000,0.000000,10.000000
2018-06,10000.000000,1010000.000000,190131.642976,228158.906453,976133.417074,1394423.966503,0.000366,0.135351,0.164649,0.700000,0.136351,0.163622,0.700026,10000.000000,0.000000,10.000000
2018-07,10000.000000,1020000.000000,201732.404467,226529.270922,988539.772759,1416801.448147,0.008813,0.135351,0.164649,0.700000,0.142386,0.159888,0.697726,10000.000000,0.000000,10.000000
2018-08,10000.000000,1030000.000000,207704.900845,235254.083792,999743.490659,1442702.475296,0.011145,0.135351,0.164649,0.700000,0.143969,0.163065,0.692966,10000.000000,0.000000,10.000000
2018-09,10000.000000,1040000.000000,194591.040851,240152.948536,1013658.609889,1448402.599276,-0.002960,0.135351,0.164649,0.700000,0.134349,0.165805,0.699846,10000.000000,0.000000,10.000000
2018-10,10000.000000,1050000.000000,187779.401415,253497.014013,1026947.988377,1468224.403805,0.006735,0.135351,0.164649,0.700000,0.127896,0.172655,0.699449,10000.000000,0.000000,10.000000
2018-11,10000.000000,1060000.000000,203254.648403,236224.613708,1036673.008448,1476152.270560,-0.001402,0.135351,0.164649,0.700000,0.137692,0.160027,0.702281,10000.000000,0.000000,10.000000
2018-12,10000.000000,1070000.000000,203208.117867,254382.475252,1045587.418677,1503178.011796,0.011456,0.135351,0.164649,0.700000,0.135186,0.169230,0.695585,10000.000000,0.000000,10.000000
2019-01,10000.000000,1080000.000000,203884.843616,267256.776619,1060487.438423,1531629.058659,0.012194,0.135351,0.164649,0.700000,0.133116,0.174492,0.692392,10000.000000,0.000000,10.000000
2019-02,10000.000000,1090000.000000,208876.394370,262218.707255,1070273.340935,1541368.442560,-0.000169,0.147097,0.152903,0.700000,0.135514,0.170121,0.694366,10000.000000,0.000000,10.000000
2019-03,10000.000000,1100000.000000,231143.236772,255896.624567,1080566.023175,1567605.884514,0.010467,0.147097,0.152903,0.700000,0.147450,0.163240,0.689310,10000.000000,0.000000,10.000000
2019-04,10000.000000,1110000.000000,234239.526332,254833.368355,1095849.584033,1584922.478720,0.004638,0.147097,0.152903,0.700000,0.147792,0.160786,0.691422,10000.000000,0.000000,10.000000
2019-05,10000.000000,1120000.000000,238153.105438,260132.345305,1111696.344511,1609981.795254,0.009442,0.147097,0.152903,0.700000,0.147923,0.161575,0.690502,10000.000000,0.000000,10.000000
2019-06,10000.000000,1130000.000000,235796.762577,277627.185099,1127197.981025,1640621.928700,0.012741,0.147097,0.152903,0.700000,0.143724,0.169221,0.687055,10000.000000,0.000000,10.000000
2019-07,10000.000000,1140000.000000,224509.551296,280848.882377,1140855.457771,1646213.891444,-0.002671,0.147097,0.152903,0.700000,0.136379,0.170603,0.693018,10000.000000,0.000000,10.000000
2019-08,10000.000000,1150000.000000,227882.833474,311370.543562,1151129.819538,1690383.196574,0.020631,0.147097,0.152903,0.700000,0.134811,0.184201,0.680987,10000.000000,0.000000,10.000000
2019-09,10000.000000,1160000.000000,241231.490725,299707.107182,1162599.218294,1703537.816201,0.001855,0.147097,0.152903,0.700000,0.141606,0.175932,0.682462,10000.000000,0.000000,10.000000
2019-10,10000.000000,1170000.000000,252315.308489,305807.443136,1175490.113024,1733612.864649,0.011716,0.147097,0.152903,0.700000,0.145543,0.176399,0.678058,10000.000000,0.000000,10.000000
2019-11,10000.000000,1180000.000000,257241.475877,301080.633572,1189544.547775,1747866.657224,0.002440,0.147097,0.152903,0.700000,0.147175,0.172256,0.680569,10000.000000,0.000000,10.000000
2019-12,10000.000000,1190000.000000,260236.167229,309690.169348,1204305.109428,1774231.446005,0.009309,0.147097,0.152903,0.700000,0.146675,0.174549,0.678776,10000.000000,0.000000,10.000000
