Month,Instalment,Total invested,Nifty value,Gold value,Liquid value,Portfolio value,Monthly return (TWR),Nifty target weight,Gold target weight,Liquid target weight,Nifty actual weight,Gold actual weight,Liquid actual weight,Bought,Sold,Costs
2016-06,10000.000000,770000.000000,124104.371620,203150.732281,681641.790406,1008896.894308,0.023094,0.122372,0.177628,0.700000,0.123010,0.201359,0.675631,10000.000000,0.000000,10.000000
2016-07,10000.000000,780000.000000,129678.061562,206536.087240,695341.557593,1031555.706395,0.012424,0.122372,0.177628,0.700000,0.125711,0.200218,0.674071,10000.000000,0.000000,10.000000
2016-08,10000.000000,790000.000000,132034.497953,200028.302716,709277.226164,1041340.026833,-0.000207,0.122372,0.177628,0.700000,0.126793,0.192087,0.681120,10000.000000,0.000000,10.000000
2016-09,10000.000000,800000.000000,129545.741085,199815.406265,723147.525332,1052508.672682,0.001112,0.122372,0.177628,0.700000,0.123083,0.189847,0.687070,10000.000000,0.000000,10.000000
2016-10,10000.000000,810000.000000,130130.033234,193544.528156,736904.523151,1060579.084540,-0.001816,0.122372,0.177628,0.700000,0.122697,0.182489,0.694813,10000.000000,0.000000,10.000000
2016-11,10000.000000,820000.000000,124844.387642,183383.475181,750018.192703,1058246.055526,-0.011520,0.122372,0.177628,0.700000,0.117973,0.173290,0.708737,10000.000000,0.000000,10.000000
2016-12,10000.000000,830000.000000,129174.553123,183287.342953,753904.142165,1066366.038241,-0.001760,0.122372,0.177628,0.700000,0.121135,0.171880,0.706984,10000.000000,0.000000,10.000000
2017-01,10000.000000,840000.000000,137786.723846,199444.453000,757907.245043,1095138.421889,0.017441,0.122372,0.177628,0.700000,0.125817,0.182118,0.692065,10000.000000,0.000000,10.000000
2017-02,10000.000000,850000.000000,143057.462189,203961.757439,771538.899934,1118558.119562,0.012143,0.122135,0.177865,0.700000,0.127895,0.182343,0.689762,10000.000000,0.000000,10.000000
2017-03,10000.000000,860000.000000,147950.122673,197964.926792,785491.606575,1131406.656040,0.002524,0.122135,0.177865,0.700000,0.130767,0.174972,0.694261,10000.000000,0.000000,10.000000
2017-04,10000.000000,870000.000000,150210.505380,201610.231603,796669.406364,1148490.143346,0.006206,0.122135,0.177865,0.700000,0.130790,0.175544,0.693667,10000.000000,0.000000,10.000000
2017-05,10000.000000,880000.000000,155492.969404,205003.238540,808573.684189,1169069.892132,0.009132,0.122135,0.177865,0.700000,0.133006,0.175356,0.691638,10000.000000,0.000000,10.000000
2017-06,10000.000000,890000.000000,154038.316817,203036.182206,820600.514352,1177675.013374,-0.001183,0.122135,0.177865,0.700000,0.130799,0.172404,0.696797,10000.000000,0.000000,10.000000
2017-07,10000.000000,900000.000000,163202.558324,212097.797914,830642.123621,1205942.479859,0.015381,0.122135,0.177865,0.700000,0.135332,0.175877,0.688791,10000.000000,0.000000,10.000000
2017-08,10000.000000,910000.000000,160799.733087,221443.017084,843329.484191,1225572.234362,0.007920,0.122135,0.177865,0.700000,0.131204,0.180685,0.688111,10000.000000,0.000000,10.000000
2017-09,10000.000000,920000.000000,158876.295456,218434.002088,857610.182466,1234920.480009,-0.000527,0.122135,0.177865,0.700000,0.128653,0.176881,0.694466,10000.000000,0.000000,10.000000
2017-10,10000.000000,930000.000000,167920.412783,217081.584609,870314.593070,1255316.590462,0.008351,0.122135,0.177865,0.700000,0.133767,0.172930,0.693303,10000.000000,0.000000,10.000000
2017-11,10000.000000,940000.000000,166334.120940,220361.838924,881311.425287,1268007.385152,0.002127,0.122135,0.177865,0.700000,0.131178,0.173786,0.695037,10000.000000,0.000000,10.000000
2017-12,10000.000000,950000.000000,171459.953738,226272.231309,892531.280338,1290263.465384,0.009590,0.122135,0.177865,0.700000,0.132888,0.175369,0.691743,10000.000000,0.000000,10.000000
2018-01,10000.000000,960000.000000,179736.431659,234291.741345,905164.069233,1319192.242237,0.014558,0.122135,0.177865,0.700000,0.136247,0.177602,0.686150,10000.000000,0.000000,10.000000
2018-02,10000.000000,970000.000000,171212.534443,232648.456404,919644.657371,1323505.648218,-0.004278,0.132936,0.167064,0.700000,0.129363,0.175782,0.694855,10000.000000,0.000000,10.000000
2018-03,10000.000000,980000.000000,168152.626276,236259.373209,931517.054695,1335929.054180,0.001817,0.132936,0.167064,0.700000,0.125869,0.176850,0.697280,10000.000000,0.000000,10.000000
2018-04,10000.000000,990000.000000,184084.251120,237574.487095,941201.738745,1362860.476960,0.012580,0.132936,0.167064,0.700000,0.135072,0.174320,0.690608,10000.000000,0.000000,10.000000
2018-05,10000.000000,1000000.000000,184227.481594,239406.093672,956297.742002,1379931.317268,0.005150,0.132936,0.167064,0.700000,0.133505,0.173491,0.693004,10000.000000,0.000000,10.000000
2018-06,10000.000000,1010000.000000,184367.066454,234784.975318,971138.195199,1390290.236971,0.000258,0.132936,0.167064,0.700000,0.132610,0.168875,0.698515,10000.000000,0.000000,10.000000
2018-07,10000.000000,1020000.000000,197359.149772,230017.362016,984947.507237,1412324.019026,0.008594,0.132936,0.167064,0.700000,0.139741,0.162864,0.697395,10000.000000,0.000000,10.000000
2018-08,10000.000000,1030000.000000,203202.166941,238448.900111,996483.097854,1438134.164906,0.011116,0.132936,0.167064,0.700000,0.141296,0.165804,0.692900,10000.000000,0.000000,10.000000
2018-09,10000.000000,1040000.000000,190372.591830,243203.675947,1010563.161824,1444139.429601,-0.002759,0.132936,0.167064,0.700000,0.131824,0.168407,0.699768,10000.000000,0.000000,10.000000
2018-10,10000.000000,1050000.000000,183824.315449,256717.249511,1023772.714288,1464314.279247,0.006997,0.132936,0.167064,0.700000,0.125536,0.175316,0.699148,10000.000000,0.000000,10.000000
2018-11,10000.000000,1060000.000000,198944.265880,239225.429325,1033637.434890,1471807.130096,-0.001701,0.132936,0.167064,0.700000,0.135170,0.162539,0.702291,10000.000000,0.000000,10.000000
2018-12,10000.000000,1070000.000000,198898.718184,257488.390957,1042565.895546,1498953.004687,0.011571,0.132936,0.167064,0.700000,0.132692,0.171779,0.695529,10000.000000,0.000000,10.000000
2019-01,10000.000000,1080000.000000,199633.450638,270519.877766,1057398.355055,1527551.683458,0.012326,0.132936,0.167064,0.700000,0.130689,0.177094,0.692218,10000.000000,0.000000,10.000000
2019-02,10000.000000,1090000.000000,205567.542753,265420.290971,1066229.892500,1537217.726224,-0.000217,0.152097,0.147903,0.700000,0.133727,0.172663,0.693610,10000.000000,0.000000,10.000000
2019-03,10000.000000,1100000.000000,228512.387559,259021.013747,1075627.373139,1563160.774445,0.010304,0.152097,0.147903,0.700000,0.146186,0.165703,0.688111,10000.000000,0.000000,10.000000
2019-04,10000.000000,1110000.000000,234196.617047,257944.771008,1088283.421633,1580424.809688,0.004617,0.152097,0.147903,0.700000,0.148186,0.163212,0.688602,10000.000000,0.000000,10.000000
2019-05,10000.000000,1120000.000000,240322.314675,263308.441453,1101899.000558,1605529.756686,0.009497,0.152097,0.147903,0.700000,0.149684,0.164001,0.686315,10000.000000,0.000000,10.000000
2019-06,10000.000000,1130000.000000,239435.173441,281016.880404,1115837.991454,1636290.045299,0.012850,0.152097,0.147903,0.700000,0.146328,0.171740,0.681932,10000.000000,0.000000,10.000000
2019-07,10000.000000,1140000.000000,228245.572328,284277.908535,1129118.853559,1641642.334422,-0.002823,0.152097,0.147903,0.700000,0.139035,0.173167,0.687798,10000.000000,0.000000,10.000000
2019-08,10000.000000,1150000.000000,231105.460981,315172.218863,1139829.828051,1686107.507895,0.020867,0.152097,0.147903,0.700000,0.137064,0.186923,0.676013,10000.000000,0.000000,10.000000
2019-09,10000.000000,1160000.000000,244581.297742,303366.373384,1151257.392567,1699205.063692,0.001826,0.152097,0.147903,0.700000,0.143939,0.178534,0.677527,10000.000000,0.000000,10.000000
2019-10,10000.000000,1170000.000000,256066.652423,309541.186654,1163826.578181,1729434.417258,0.011836,0.152097,0.147903,0.700000,0.148064,0.178984,0.672952,10000.000000,0.000000,10.000000
2019-11,10000.000000,1180000.000000,261579.368067,304756.661102,1177312.843028,1743648.872197,0.002423,0.152097,0.147903,0.700000,0.150018,0.174781,0.675201,10000.000000,0.000000,10.000000
2019-12,10000.000000,1190000.000000,265238.688975,313471.310245,1191405.875666,1770115.874887,0.009390,0.152097,0.147903,0.700000,0.149843,0.177091,0.673067,10000.000000,0.000000,10.000000
